,Media Sources,Tweet Polarity,Positive,Negative,Neutral,Tweets Ago,Date
0,@BBC,0.6124,0.182,0.0,0.818,1,Tue Mar 27 02:26:14 +0000 2018
1,@BBC,0.0,0.0,0.0,1.0,2,Tue Mar 27 02:25:27 +0000 2018
2,@BBC,-0.5106,0.0,0.148,0.852,3,Tue Mar 27 02:24:57 +0000 2018
3,@BBC,0.0,0.0,0.0,1.0,4,Tue Mar 27 02:24:45 +0000 2018
4,@BBC,-0.6249,0.0,0.242,0.758,5,Tue Mar 27 02:24:42 +0000 2018
5,@BBC,-0.4588,0.0,0.13,0.87,6,Tue Mar 27 02:24:35 +0000 2018
6,@BBC,-0.5106,0.0,0.148,0.852,7,Tue Mar 27 02:23:45 +0000 2018
7,@BBC,-0.6249,0.0,0.242,0.758,8,Tue Mar 27 02:23:09 +0000 2018
8,@BBC,0.0,0.0,0.0,1.0,9,Tue Mar 27 02:22:13 +0000 2018
9,@BBC,-0.743,0.0,0.283,0.717,10,Tue Mar 27 02:21:55 +0000 2018
10,@BBC,0.0,0.0,0.0,1.0,11,Tue Mar 27 02:21:17 +0000 2018
11,@BBC,-0.5106,0.0,0.148,0.852,12,Tue Mar 27 02:21:01 +0000 2018
12,@BBC,0.4767,0.205,0.0,0.795,13,Tue Mar 27 02:21:00 +0000 2018
13,@BBC,0.0,0.0,0.0,1.0,14,Tue Mar 27 02:20:50 +0000 2018
14,@BBC,0.0,0.0,0.0,1.0,15,Tue Mar 27 02:20:44 +0000 2018
15,@BBC,-0.4588,0.0,0.13,0.87,16,Tue Mar 27 02:20:43 +0000 2018
16,@BBC,0.0,0.0,0.0,1.0,17,Tue Mar 27 02:20:13 +0000 2018
17,@BBC,-0.6361,0.0,0.245,0.755,18,Tue Mar 27 02:20:05 +0000 2018
18,@BBC,0.0,0.0,0.0,1.0,19,Tue Mar 27 02:19:59 +0000 2018
19,@BBC,-0.5719,0.0,0.198,0.802,20,Tue Mar 27 02:19:25 +0000 2018
20,@BBC,0.8331,0.343,0.0,0.657,21,Tue Mar 27 02:18:50 +0000 2018
21,@BBC,-0.4767,0.0,0.147,0.853,22,Tue Mar 27 02:18:23 +0000 2018
22,@BBC,0.0,0.0,0.0,1.0,23,Tue Mar 27 02:17:23 +0000 2018
23,@BBC,-0.3818,0.0,0.148,0.852,24,Tue Mar 27 02:17:21 +0000 2018
